country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro","02-07-2026 14:00:00",21.217779,72.834787,CO,39,46,42
India,Gujarat,Surat,"Science Center, Surat - SMC","02-07-2026 14:00:00",21.170046,72.795405,NH3,NA,NA,NA
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","02-07-2026 14:00:00",22.320153,73.216285,NH3,2,2,2
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","02-07-2026 14:00:00",22.320153,73.216285,SO2,6,7,7
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","02-07-2026 14:00:00",22.320153,73.216285,CO,93,97,95
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","02-07-2026 14:00:00",20.362421,72.918013,PM2.5,NA,NA,NA
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","02-07-2026 14:00:00",23.041137,72.456691,CO,9,18,13
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","02-07-2026 14:00:00",23.041137,72.456691,OZONE,2,25,10
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","02-07-2026 14:00:00",22.977134,72.553024,NO2,8,16,11
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","02-07-2026 14:00:00",22.977134,72.553024,NH3,3,4,3
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","02-07-2026 14:00:00",22.977134,72.553024,CO,31,37,33
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","02-07-2026 14:00:00",23.107969,72.574648,PM2.5,NA,NA,NA
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","02-07-2026 14:00:00",23.020509,72.579261,PM2.5,12,47,31
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","02-07-2026 14:00:00",23.016834,72.625775,PM2.5,24,72,39
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","02-07-2026 14:00:00",23.016834,72.625775,PM10,36,97,67
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","02-07-2026 14:00:00",23.023389,72.515201,PM2.5,20,106,49
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","02-07-2026 14:00:00",23.023389,72.515201,PM10,23,123,61
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","02-07-2026 14:00:00",23.023389,72.515201,OZONE,24,52,38
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","02-07-2026 14:00:00",23.002657,72.591912,SO2,61,131,106
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","02-07-2026 14:00:00",21.613267,73.010555,PM2.5,NA,NA,NA
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","02-07-2026 14:00:00",21.613267,73.010555,NH3,6,7,7
